DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 96000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
2.930, 38.0585
5.859, 45.1911
8.789, 47.2724
11.719, 48.0536
14.648, 48.3035
17.578, 48.3708
20.508, 48.4042
23.438, 48.2550
26.367, 48.0846
29.297, 47.9048
32.227, 47.6743
35.156, 47.4649
38.086, 47.1876
41.016, 46.9654
43.945, 46.7050
46.875, 46.4406
49.805, 46.1823
52.734, 45.9206
55.664, 45.6315
58.594, 45.3722
61.523, 45.1387
64.453, 44.8815
67.383, 44.6377
70.313, 44.3930
73.242, 44.1496
76.172, 43.9098
79.102, 43.6711
82.031, 43.4385
84.961, 43.2300
87.891, 42.9999
90.820, 42.8091
93.750, 42.5579
96.680, 42.3827
99.609, 42.1742
102.539, 41.9936
105.469, 41.8038
108.398, 41.6298
111.328, 41.4357
114.258, 41.2597
117.188, 41.0918
120.117, 40.9300
123.047, 40.7461
125.977, 40.6065
128.906, 40.4275
131.836, 40.2779
134.766, 40.1333
137.695, 39.9869
140.625, 39.8272
143.555, 39.6837
146.484, 39.5363
149.414, 39.4257
152.344, 39.2851
155.273, 39.1387
158.203, 39.0143
161.133, 38.8873
164.063, 38.7689
166.992, 38.6610
169.922, 38.5396
172.852, 38.4229
175.781, 38.2929
178.711, 38.1868
181.641, 38.0814
184.570, 37.9597
187.500, 37.8935
190.430, 37.7644
193.359, 37.6679
196.289, 37.5686
199.219, 37.4741
202.148, 37.3776
205.078, 37.2772
208.008, 37.2049
210.938, 37.0927
213.867, 37.0108
216.797, 36.9228
219.727, 36.8292
222.656, 36.7479
225.586, 36.6686
228.516, 36.5856
231.445, 36.5094
234.375, 36.4339
237.305, 36.3551
240.234, 36.2774
243.164, 36.1960
246.094, 36.1150
249.023, 36.0457
251.953, 35.9823
254.883, 35.9093
257.813, 35.8452
260.742, 35.7896
263.672, 35.7146
266.602, 35.6478
269.531, 35.5869
272.461, 35.5196
275.391, 35.4520
278.320, 35.4058
281.250, 35.3112
284.180, 35.2835
287.109, 35.2331
290.039, 35.1726
292.969, 35.1037
295.898, 35.0557
298.828, 35.0104
301.758, 34.9598
304.688, 34.8946
307.617, 34.8372
310.547, 34.8003
313.477, 34.7465
316.406, 34.7030
319.336, 34.6408
322.266, 34.5979
325.195, 34.5523
328.125, 34.5110
331.055, 34.4643
333.984, 34.4142
336.914, 34.3562
339.844, 34.3222
342.773, 34.2902
345.703, 34.2465
348.633, 34.2029
351.563, 34.1623
354.492, 34.1256
357.422, 34.0869
360.352, 34.0352
363.281, 33.9980
366.211, 33.9690
369.141, 33.9196
372.070, 33.8904
375.000, 33.9951
377.930, 33.8211
380.859, 33.7714
383.789, 33.7363
386.719, 33.7123
389.648, 33.6792
392.578, 33.6382
395.508, 33.6103
398.438, 33.5765
401.367, 33.5431
404.297, 33.5176
407.227, 33.4721
410.156, 33.4526
413.086, 33.4240
416.016, 33.3828
418.945, 33.3540
421.875, 33.3305
424.805, 33.2947
427.734, 33.2703
430.664, 33.2589
433.594, 33.2134
436.523, 33.1894
439.453, 33.1644
442.383, 33.1316
445.313, 33.0986
448.242, 33.0795
451.172, 33.0460
454.102, 33.0287
457.031, 32.9969
459.961, 32.9799
462.891, 32.9567
465.820, 32.9251
468.750, 32.9244
471.680, 32.8866
474.609, 32.8515
477.539, 32.8422
480.469, 32.8107
483.398, 32.7818
486.328, 32.7654
489.258, 32.7398
492.188, 32.7185
495.117, 32.6987
498.047, 32.6720
500.977, 32.6653
503.906, 32.6403
506.836, 32.6150
509.766, 32.5954
512.695, 32.5761
515.625, 32.5476
518.555, 32.5279
521.484, 32.5065
524.414, 32.4949
527.344, 32.4806
530.273, 32.4597
533.203, 32.4405
536.133, 32.4204
539.063, 32.3952
541.992, 32.3890
544.922, 32.3573
547.852, 32.3525
550.781, 32.3275
553.711, 32.3060
556.641, 32.2965
559.570, 32.2819
562.500, 32.2453
565.430, 32.2407
568.359, 32.2307
571.289, 32.2095
574.219, 32.1935
577.148, 32.1733
580.078, 32.1619
583.008, 32.1448
585.938, 32.1296
588.867, 32.1182
591.797, 32.0986
594.727, 32.0865
597.656, 32.0667
600.586, 32.0521
603.516, 32.0393
606.445, 32.0194
609.375, 32.0188
612.305, 31.9887
615.234, 31.9794
618.164, 31.9656
621.094, 31.9564
624.023, 31.9326
626.953, 31.9252
629.883, 31.9136
632.813, 31.8986
635.742, 31.8819
638.672, 31.8669
641.602, 31.8494
644.531, 31.8429
647.461, 31.8381
650.391, 31.8190
653.320, 31.7980
656.250, 31.7645
659.180, 31.7828
662.109, 31.7578
665.039, 31.7573
667.969, 31.7402
670.898, 31.7334
673.828, 31.7197
676.758, 31.7045
679.688, 31.6915
682.617, 31.6824
685.547, 31.6809
688.477, 31.6537
691.406, 31.6403
694.336, 31.6256
697.266, 31.6310
700.195, 31.6095
703.125, 31.5977
706.055, 31.5878
708.984, 31.5758
711.914, 31.5684
714.844, 31.5612
717.773, 31.5479
720.703, 31.5385
723.633, 31.5208
726.563, 31.5100
729.492, 31.5131
732.422, 31.4972
735.352, 31.4813
738.281, 31.4755
741.211, 31.4583
744.141, 31.4590
747.070, 31.4334
750.000, 31.4294
752.930, 31.4204
755.859, 31.4172
758.789, 31.4039
761.719, 31.3892
764.648, 31.3802
767.578, 31.3660
770.508, 31.3590
773.438, 31.3480
776.367, 31.3382
779.297, 31.3293
782.227, 31.3291
785.156, 31.3109
788.086, 31.3088
791.016, 31.2977
793.945, 31.2912
796.875, 31.2775
799.805, 31.2659
802.734, 31.2725
805.664, 31.2482
