Freq.	V(out)
5.38000000000000e+000	2.85726597664648e+002,8.61781538843114e+001
1.07633011842266e+001	2.98373922718132e+002,-3.00580387126912e+000
1.61466023684532e+001	2.85665670764941e+002,-5.04582664115452e+001
2.15299035526798e+001	2.66353833165198e+002,-8.19159974289892e+001
2.69132047369064e+001	2.44676270645431e+002,-1.03348477775397e+002
3.22965059211329e+001	2.22803943382235e+002,-1.17454092061099e+002
3.76798071053595e+001	2.01995348964201e+002,-1.26076224673833e+002
4.30631082895861e+001	1.82909701887020e+002,-1.30657153843784e+002
4.84464094738127e+001	1.65807838620134e+002,-1.32333806928742e+002
5.38297106580393e+001	1.50706098552853e+002,-1.31979650344811e+002
5.92130118422659e+001	1.37486357073306e+002,-1.30247049702457e+002
6.45963130264925e+001	1.25967848265488e+002,-1.27611804784201e+002
6.99796142107191e+001	1.15950262328144e+002,-1.24414409211765e+002
7.53629153949457e+001	1.07237463228069e+002,-1.20894721086699e+002
8.07462165791723e+001	9.96491239850194e+001,-1.17219290130608e+002
8.61295177633989e+001	9.30253032776350e+001,-1.13502026179946e+002
9.15128189476255e+001	8.72271589704622e+001,-1.09819421822172e+002
9.68961201318521e+001	8.21357194028203e+001,-1.06221574857309e+002
1.02279421316079e+002	7.76498131862218e+001,-1.02740083760525e+002
1.07662722500305e+002	7.36837577399756e+001,-9.93936651329103e+001
1.13046023684532e+002	7.01651131653253e+001,-9.61921335366367e+001
1.18429324868758e+002	6.70326417752408e+001,-9.31392133385287e+001
1.23812626052985e+002	6.42345229959045e+001,-9.02345211589649e+001
1.29195927237212e+002	6.17268264949010e+001,-8.74749606187380e+001
1.34579228421438e+002	5.94722241434892e+001,-8.48557009522307e+001
1.39962529605665e+002	5.74389126019693e+001,-8.23708609561899e+001
1.45345830789891e+002	5.55997165210428e+001,-8.00139842147946e+001
1.50729131974118e+002	5.39313439823883e+001,-7.77783664354506e+001
1.56112433158345e+002	5.24137688901752e+001,-7.56572780145023e+001
1.61495734342571e+002	5.10297185312077e+001,-7.36441124439724e+001
1.66879035526798e+002	4.97642479301979e+001,-7.17324823308187e+001
1.72262336711024e+002	4.86043857026556e+001,-6.99162785370525e+001
1.77645637895251e+002	4.75388387739651e+001,-6.81897035026197e+001
1.83028939079477e+002	4.65577455876120e+001,-6.65472866477322e+001
1.88412240263704e+002	4.56524693010347e+001,-6.49838874914699e+001
1.93795541447931e+002	4.48154240136259e+001,-6.34946905081335e+001
1.99178842632157e+002	4.40399283367852e+001,-6.20751945825960e+001
2.04562143816384e+002	4.33200816486275e+001,-6.07211990952152e+001
2.09945445000610e+002	4.26506592161095e+001,-5.94287880670074e+001
2.15328746184837e+002	4.20270230506645e+001,-5.81943133657964e+001
2.20712047369064e+002	4.14450459198160e+001,-5.70143776643222e+001
2.26095348553290e+002	4.09010463894714e+001,-5.58858176184356e+001
2.31478649737517e+002	4.03917331408145e+001,-5.48056875741021e+001
2.36861950921743e+002	3.99141571067041e+001,-5.37712439979287e+001
2.42245252105970e+002	3.94656702192272e+001,-5.27799307452280e+001
2.47628553290196e+002	3.90438897618370e+001,-5.18293652227284e+001
2.53011854474423e+002	3.86466674857883e+001,-5.09173254632112e+001
2.58395155658650e+002	3.82720627871169e+001,-5.00417381029189e+001
2.63778456842876e+002	3.79183193536880e+001,-4.92006672344265e+001
2.69161758027103e+002	3.75838447849130e+001,-4.83923040958371e+001
2.74545059211329e+002	3.72671927648915e+001,-4.76149575514277e+001
2.79928360395556e+002	3.69670474337219e+001,-4.68670453142442e+001
2.85311661579783e+002	3.66822096561579e+001,-4.61470858608064e+001
2.90694962764009e+002	3.64115849314991e+001,-4.54536909881383e+001
2.96078263948236e+002	3.61541727264966e+001,-4.47855589646865e+001
3.01461565132462e+002	3.59090570448045e+001,-4.41414682289834e+001
3.06844866316689e+002	3.56753980734462e+001,-4.35202715926183e+001
3.12228167500915e+002	3.54524247690102e+001,-4.29208909061806e+001
3.17611468685142e+002	3.52394282657484e+001,-4.23423121504354e+001
3.22994769869369e+002	3.50357560039533e+001,-4.17835809171937e+001
3.28378071053595e+002	3.48408064906217e+001,-4.12437982473694e+001
3.33761372237822e+002	3.46540246163861e+001,-4.07221167962413e+001
3.39144673422048e+002	3.44748974627647e+001,-4.02177372984325e+001
3.44527974606275e+002	3.43029505421965e+001,-3.97299053071891e+001
3.49911275790502e+002	3.41377444209675e+001,-3.92579081851981e+001
3.55294576974728e+002	3.39788716813634e+001,-3.88010723255454e+001
3.60677878158955e+002	3.38259541848926e+001,-3.83587605837782e+001
3.66061179343181e+002	3.36786406031495e+001,-3.79303699033985e+001
3.71444480527408e+002	3.35366041870000e+001,-3.75153291187096e+001
3.76827781711634e+002	3.33995407482607e+001,-3.71130969204265e+001
3.82211082895861e+002	3.32671668312151e+001,-3.67231599706966e+001
3.87594384080088e+002	3.31392180539548e+001,-3.63450311554371e+001
3.92977685264314e+002	3.30154476017453e+001,-3.59782479625715e+001
3.98360986448541e+002	3.28956248569037e+001,-3.56223709764594e+001
4.03744287632767e+002	3.27795341511760e+001,-3.52769824788430e+001
4.09127588816994e+002	3.26669736283995e+001,-3.49416851481069e+001
4.14510890001221e+002	3.25577542064664e+001,-3.46161008490356e+001
4.19894191185447e+002	3.24516986288237e+001,-3.42998695059981e+001
4.25277492369674e+002	3.23486405968623e+001,-3.39926480530889e+001
4.30660793553900e+002	3.22484239753768e+001,-3.36941094552628e+001
4.36044094738127e+002	3.21509020642925e+001,-3.34039417952336e+001
4.41427395922353e+002	3.20559369302665e+001,-3.31218474209062e+001
4.46810697106580e+002	3.19633987928159e+001,-3.28475421489503e+001
4.52193998290807e+002	3.18731654597808e+001,-3.25807545203375e+001
4.57577299475033e+002	3.17851218078164e+001,-3.23212251039615e+001
4.62960600659260e+002	3.16991593037608e+001,-3.20687058448624e+001
4.68343901843486e+002	3.16151755632808e+001,-3.18229594536983e+001
4.73727203027713e+002	3.15330739435924e+001,-3.15837588347492e+001
4.79110504211939e+002	3.14527631671607e+001,-3.13508865494253e+001
4.84493805396166e+002	3.13741569738565e+001,-3.11241343129044e+001
4.89877106580393e+002	3.12971737990497e+001,-3.09033025215878e+001
4.95260407764619e+002	3.12217364755077e+001,-3.06881998092204e+001
5.00643708948846e+002	3.11477719570868e+001,-3.04786426295878e+001
5.06027010133072e+002	3.10752110624347e+001,-3.02744548641377e+001
5.11410311317299e+002	3.10039882370700e+001,-3.00754674527473e+001
5.16793612501526e+002	3.09340413323232e+001,-2.98815180460509e+001
5.22176913685752e+002	3.08653113998524e+001,-2.96924506779479e+001
5.27560214869979e+002	3.07977425003952e+001,-2.95081154569374e+001
5.32943516054205e+002	3.07312815257585e+001,-2.93283682750710e+001
5.38326817238432e+002	3.06658780329301e+001,-2.91530705332615e+001
5.43710118422659e+002	3.06014840893874e+001,-2.89820888820311e+001
5.49093419606885e+002	3.05380541288021e+001,-2.88152949766997e+001
5.54476720791112e+002	3.04755448162858e+001,-2.86525652459571e+001
5.59860021975339e+002	3.04139149225002e+001,-2.84937806731483e+001
5.65243323159565e+002	3.03531252059757e+001,-2.83388265893408e+001
5.70626624343792e+002	3.02931383029921e+001,-2.81875924775279e+001
5.76009925528019e+002	3.02339186245574e+001,-2.80399717873204e+001
5.81393226712245e+002	3.01754322598477e+001,-2.78958617592929e+001
5.86776527896472e+002	3.01176468857416e+001,-2.77551632586348e+001
5.92159829080699e+002	3.00605316820044e+001,-2.76177806174181e+001
5.97543130264925e+002	3.00040572516821e+001,-2.74836214849608e+001
6.02926431449152e+002	2.99481955463501e+001,-2.73525966859010e+001
6.08309732633378e+002	2.98929197959408e+001,-2.72246200854106e+001
6.13693033817605e+002	2.98382044427364e+001,-2.70996084612255e+001
6.19076335001832e+002	2.97840250793446e+001,-2.69774813820582e+001
6.24459636186058e+002	2.97303583903052e+001,-2.68581610920225e+001
6.29842937370285e+002	2.96771820971377e+001,-2.67415724007486e+001
6.35226238554512e+002	2.96244749065579e+001,-2.66276425788408e+001
6.40609539738738e+002	2.95722164617341e+001,-2.65163012584481e+001
6.45992840922965e+002	2.95203872962576e+001,-2.64074803385105e+001
6.51376142107192e+002	2.94689687907810e+001,-2.63011138946343e+001
6.56759443291418e+002	2.94179431320628e+001,-2.61971380931223e+001
6.62142744475645e+002	2.93672932743234e+001,-2.60954911091672e+001
6.67526045659871e+002	2.93170029027028e+001,-2.59961130486943e+001
6.72909346844098e+002	2.92670563987649e+001,-2.58989458740025e+001
6.78292648028325e+002	2.92174388078517e+001,-2.58039333326424e+001
6.83675949212551e+002	2.91681358082268e+001,-2.57110208896935e+001
6.89059250396778e+002	2.91191336818379e+001,-2.56201556629652e+001
6.94442551581005e+002	2.90704192866810e+001,-2.55312863612485e+001
6.99825852765231e+002	2.90219800305954e+001,-2.54443632251825e+001
7.05209153949458e+002	2.89738038464120e+001,-2.53593379708486e+001
7.10592455133685e+002	2.89258791684644e+001,-2.52761637357900e+001
7.15975756317911e+002	2.88781949102264e+001,-2.51947950274062e+001
7.21359057502138e+002	2.88307404431627e+001,-2.51151876735651e+001
7.26742358686364e+002	2.87835055766128e+001,-2.50372987753778e+001
7.32125659870591e+002	2.87364805387092e+001,-2.49610866619659e+001
7.37508961054818e+002	2.86896559582657e+001,-2.48865108471348e+001
7.42892262239044e+002	2.86430228475186e+001,-2.48135319879181e+001
7.48275563423271e+002	2.85965725857695e+001,-2.47421118448099e+001
7.53658864607498e+002	2.85502969038181e+001,-2.46722132437066e+001
