DFT, Frequency Response Magnitude
Numpoints, 8192
SamplingRate(Hz), 88200.000000
Frequency(Hz), Magnitude(dB)
5.38, 30.907204
10.77, 38.319626
16.15, 40.399536
21.53, 40.999760
26.92, 41.095837
32.30, 40.932625
37.68, 40.625999
43.07, 40.236282
48.45, 39.844730
53.83, 39.426208
59.22, 39.012779
64.60, 38.539608
69.98, 38.128647
75.37, 37.701015
80.75, 37.289074
86.13, 36.908127
91.52, 36.543869
96.90, 36.162857
102.28, 35.831287
107.67, 35.489574
113.05, 35.153728
118.43, 34.828468
123.82, 34.548309
129.20, 34.251965
134.58, 33.975430
139.97, 33.707958
145.35, 33.434383
150.73, 33.191441
156.12, 32.950230
161.50, 32.725571
166.88, 32.506733
172.27, 32.298187
177.65, 32.102291
183.03, 31.861780
188.42, 31.682217
193.80, 31.505985
199.18, 31.326790
204.57, 31.144430
209.95, 30.975952
215.33, 30.796980
220.72, 30.646324
226.10, 30.501589
231.48, 30.344776
236.87, 30.201342
242.25, 30.066160
247.63, 29.936235
253.02, 29.791191
258.40, 29.673403
263.78, 29.552334
269.17, 29.441416
274.55, 29.304573
279.93, 29.222033
285.31, 29.098925
290.70, 28.967655
296.08, 28.880138
301.46, 28.944553
306.85, 28.722952
312.23, 28.595222
317.61, 28.504503
323.00, 28.398401
328.38, 28.321524
333.76, 28.241978
339.15, 28.140886
344.53, 28.085957
349.91, 27.986469
355.30, 27.919872
360.68, 27.846546
366.06, 27.779352
371.45, 27.705639
376.83, 27.636938
382.21, 27.576527
387.60, 27.510437
392.98, 27.440634
398.36, 27.379620
403.75, 27.325708
409.13, 27.267553
414.51, 27.209711
419.90, 26.863832
425.28, 27.090662
430.66, 27.032522
436.05, 26.993473
441.43, 26.922606
446.81, 26.877186
452.20, 26.842117
457.58, 26.797077
462.96, 26.740198
468.35, 26.698708
473.73, 26.649664
479.11, 26.599684
484.50, 26.565178
489.88, 26.522703
495.26, 26.484091
500.65, 26.434687
506.03, 26.393147
511.41, 26.369694
516.80, 26.314699
522.18, 26.279957
527.56, 26.258224
532.95, 26.238264
538.33, 26.282057
543.71, 26.126574
549.10, 26.108982
554.48, 26.066307
559.86, 26.057367
565.25, 26.002602
570.63, 25.994179
576.01, 25.951672
581.40, 25.921896
586.78, 25.891632
592.16, 25.868572
597.55, 25.836456
602.93, 25.817205
608.31, 25.777157
613.70, 25.745199
619.08, 25.729332
624.46, 25.694063
629.85, 25.679903
635.23, 25.659864
640.61, 25.622618
646.00, 25.591202
651.38, 25.572508
656.76, 25.546688
662.15, 25.522871
667.53, 25.510715
672.91, 25.481619
678.30, 25.457146
683.68, 25.440924
689.06, 25.422876
694.45, 25.387253
699.83, 25.368193
705.21, 25.343620
710.60, 25.330389
715.98, 25.307411
721.36, 25.290678
726.75, 25.271034
732.13, 25.250082
737.51, 25.233072
742.90, 25.206192
748.28, 25.193235
753.66, 25.167091
759.05, 25.152924
764.43, 25.141325
769.81, 25.111912
775.20, 25.103476
780.58, 25.088919
785.96, 25.062050
791.35, 25.043795
796.73, 25.026466
802.11, 25.023422
807.50, 25.007328
812.88, 24.968323
818.26, 24.956072
823.65, 24.953178
829.03, 24.938061
834.41, 24.907825
839.79, 24.899290
845.18, 24.884394
850.56, 24.866465
855.94, 24.855783
861.33, 24.833124
866.71, 24.820255
872.09, 24.812613
877.48, 24.792807
882.86, 24.775372
888.24, 24.765266
893.63, 24.759502
899.01, 24.750490
904.39, 24.726894
909.78, 24.713949
915.16, 24.689161
920.54, 24.672998
925.93, 24.670013
931.31, 24.663574
936.69, 24.642761
942.08, 24.627823
947.46, 24.609079
952.84, 24.602154
958.23, 24.594839
963.61, 24.571474
968.99, 24.557106
974.38, 24.544706
979.76, 24.537886
985.14, 24.519381
990.53, 24.518661
995.91, 24.491972
1001.29, 24.486191
1006.68, 24.469595
1012.06, 24.460173
1017.44, 24.454620
1022.83, 24.435551
1028.21, 24.413536
1033.59, 24.407434
1038.98, 24.407902
1044.36, 24.390358
1049.74, 24.382507
1055.13, 24.361162
1060.51, 24.362339
1065.89, 24.340748
1071.28, 24.325918
1076.66, 24.322023
1082.04, 24.304861
1087.43, 24.295759
1092.81, 24.283812
1098.19, 24.274261
1103.58, 24.259462
1108.96, 24.250864
1114.34, 24.234640
1119.73, 24.230988
1125.11, 24.215412
1130.49, 24.206041
1135.88, 24.193089
1141.26, 24.183945
1146.64, 24.164326
1152.03, 24.162306
1157.41, 24.147846
1162.79, 24.136736
1168.18, 24.120058
1173.56, 24.118824
1178.94, 24.107025
1184.33, 24.100574
1189.71, 24.084484
1195.09, 24.080128
1200.48, 24.060701
1205.86, 24.052870
1211.24, 24.049110
1216.63, 24.028790
1222.01, 24.013836
1227.39, 24.007780
1232.78, 24.007566
1238.16, 23.990639
1243.54, 23.984655
1248.93, 23.964676
1254.31, 23.956745
1259.69, 23.947323
1265.08, 23.936180
1270.46, 23.928202
1275.84, 23.911283
1281.23, 23.916122
1286.61, 23.896635
1291.99, 23.895748
1297.38, 23.879837
1302.76, 23.866081
1308.14, 23.853767
1313.53, 23.843493
1318.91, 23.845152
1324.29, 23.826464
1329.68, 23.813583
1335.06, 23.808767
1340.44, 23.790821
1345.83, 23.777369
1351.21, 23.778221
1356.59, 23.773565
1361.98, 23.746853
1367.36, 23.740522
1372.74, 23.727787
1378.13, 23.712931
1383.51, 23.722557
1388.89, 23.706144
1394.27, 23.714069
1399.66, 23.687370
1405.04, 23.673971
1410.42, 23.668139
1415.81, 23.654577
1421.19, 23.636145
1426.57, 23.640564
1431.96, 23.633501
1437.34, 23.613930
1442.72, 23.603573
1448.11, 23.590870
1453.49, 23.587034
1458.87, 23.580885
1464.26, 23.563541
1469.64, 23.545771
1475.02, 23.543961
1480.41, 23.529959
1485.79, 23.530340
1491.17, 23.515699
1496.56, 23.515913
1501.94, 23.498930
1507.32, 23.482409
1512.71, 23.478096
1518.09, 23.472551
1523.47, 23.464054
1528.86, 23.449642
1534.24, 23.438389
1539.62, 23.430851
1545.01, 23.424751
1550.39, 23.409481
1555.77, 23.401501
1561.16, 23.399878
1566.54, 23.380331
1571.92, 23.378624
1577.31, 23.363941
1582.69, 23.354324
1588.07, 23.348110
1593.46, 23.338039
1598.84, 23.331932
1604.22, 23.325539
1609.61, 23.306868
1614.99, 23.288460
1620.37, 23.286219
1625.76, 23.275166
1631.14, 23.271286
1636.52, 23.261232
1641.91, 23.244171
1647.29, 23.243149
1652.67, 23.227617
1658.06, 23.218004
1663.44, 23.217257
1668.82, 23.192665
1674.21, 23.190496
1679.59, 23.188042
1684.97, 23.172529
1690.36, 23.163673
1695.74, 23.162718
1701.12, 23.134569
1706.51, 23.144123
1711.89, 23.124514
1717.27, 23.114498
1722.66, 23.109493
1728.04, 23.098499
1733.42, 23.078823
1738.81, 23.081806
1744.19, 23.064127
1749.57, 23.048380
1754.96, 23.044523
1760.34, 23.042355
1765.72, 23.027241
1771.11, 23.019028
1776.49, 23.012445
1781.87, 23.004276
1787.26, 22.993910
1792.64, 22.975166
1798.02, 22.973154
1803.41, 22.971468
1808.79, 22.951149
1814.17, 22.951458
1819.56, 22.940624
1824.94, 22.927191
1830.32, 22.912666
1835.71, 22.914150
1841.09, 22.895353
1846.47, 22.888468
1851.86, 22.882202
1857.24, 22.865448
1862.62, 22.854502
1868.01, 22.853331
1873.39, 22.847971
1878.77, 22.838356
1884.16, 22.827232
1889.54, 22.818817
1894.92, 22.810966
1900.31, 22.792046
1905.69, 22.785172
1911.07, 22.778198
1916.46, 22.769711
1921.84, 22.751133
1927.22, 22.747786
1932.60, 22.741350
1937.99, 22.731218
1943.37, 22.716722
1948.75, 22.707817
1954.14, 22.695335
1959.52, 22.693518
1964.90, 22.684698
1970.29, 22.671997
1975.67, 22.665417
1981.05, 22.657173
1986.44, 22.650999
1991.82, 22.623989
1997.20, 22.630152
2002.59, 22.605793
2007.97, 22.603771
2013.35, 22.596464
2018.74, 22.585539
2024.12, 22.583546
2029.50, 22.566368
2034.89, 22.560778
2040.27, 22.554331
2045.65, 22.550158
2051.04, 22.527111
2056.42, 22.521208
2061.80, 22.506966
2067.19, 22.502340
2072.57, 22.499962
2077.95, 22.483681
2083.34, 22.474236
2088.72, 22.469233
2094.10, 22.457312
2099.49, 22.448236
2104.87, 22.434095
2110.25, 22.431950
2115.64, 22.430708
2121.02, 22.409914
2126.40, 22.400082
2131.79, 22.396168
2137.17, 22.386208
2142.55, 22.376509
2147.94, 22.367237
2153.32, 22.358400
2158.70, 22.343264
2164.09, 22.337111
2169.47, 22.325315
2174.85, 22.311144
2180.24, 22.308582
2185.62, 22.301430
2191.00, 22.290981
2196.39, 22.273579
2201.77, 22.271137
2207.15, 22.258633
2212.54, 22.254784
2217.92, 22.241371
2223.30, 22.230267
2228.69, 22.219999
2234.07, 22.216595
2239.45, 22.201433
2244.84, 22.192440
2250.22, 22.182617
2255.60, 22.173918
2260.99, 22.167397
2266.37, 22.162046
2271.75, 22.155590
2277.14, 22.130131
2282.52, 22.126482
2287.90, 22.127407
2293.29, 22.107615
2298.67, 22.099972
2304.05, 22.093662
2309.44, 22.083023
2314.82, 22.075348
2320.20, 22.055639
2325.59, 22.049231
2330.97, 22.044748
2336.35, 22.041779
2341.74, 22.029207
2347.12, 22.009428
2352.50, 22.014780
2357.89, 21.992725
2363.27, 21.981127
2368.65, 21.984447
2374.04, 21.966724
2379.42, 21.962049
2384.80, 21.949463
2390.19, 21.939100
2395.57, 21.930368
2400.95, 21.922054
2406.34, 21.913128
2411.72, 21.901453
2417.10, 21.894058
2422.49, 21.888458
2427.87, 21.878933
2433.25, 21.868679
2438.64, 21.860657
2444.02, 21.847059
2449.40, 21.839283
2454.79, 21.832590
2460.17, 21.811897
2465.55, 21.805910
2470.94, 21.800863
2476.32, 21.802071
2481.70, 21.780539
2487.08, 21.772326
2492.47, 21.764166
2497.85, 21.745302
2503.23, 21.746214
2508.62, 21.735615
2514.00, 21.721590
2519.38, 21.722080
2524.77, 21.715679
2530.15, 21.702738
2535.53, 21.690382
2540.92, 21.681450
2546.30, 21.675589
2551.68, 21.666798
2557.07, 21.657261
2562.45, 21.638283
2567.83, 21.627329
2573.22, 21.625549
2578.60, 21.619209
2583.98, 21.610090
2589.37, 21.602041
2594.75, 21.589401
2600.13, 21.578129
2605.52, 21.572840
2610.90, 21.563437
2616.28, 21.546043
2621.67, 21.551971
2627.05, 21.539896
2632.43, 21.527931
2637.82, 21.510408
2643.20, 21.509016
2648.58, 21.498531
2653.97, 21.490158
2659.35, 21.485321
2664.73, 21.472990
2670.12, 21.450867
2675.50, 21.447353
2680.88, 21.449961
2686.27, 21.432344
2691.65, 21.425655
2697.03, 21.411621
2702.42, 21.409275
2707.80, 21.388742
2713.18, 21.389076
2718.57, 21.380682
2723.95, 21.363907
2729.33, 21.355764
2734.72, 21.355600
2740.10, 21.338118
2745.48, 21.333794
2750.87, 21.319429
2756.25, 21.317856
2761.63, 21.304028
2767.02, 21.297974
2772.40, 21.289785
2777.78, 21.279205
2783.17, 21.267452
2788.55, 21.262230
2793.93, 21.250536
2799.32, 21.242727
2804.70, 21.232700
2810.08, 21.228514
2815.47, 21.224169
2820.85, 21.197170
2826.23, 21.190145
2831.62, 21.187508
2837.00, 21.167048
2842.38, 21.160095
2847.77, 21.156080
2853.15, 21.152128
2858.53, 21.146351
2863.92, 21.129185
2869.30, 21.124531
2874.68, 21.114618
2880.07, 21.098091
2885.45, 21.092550
2890.83, 21.083651
2896.22, 21.081646
2901.60, 21.068996
2906.98, 21.062426
2912.37, 21.044146
2917.75, 21.036938
2923.13, 21.028345
2928.52, 21.018198
2933.90, 21.019964
2939.28, 21.010485
2944.67, 20.993383
2950.05, 20.987091
2955.43, 20.980307
2960.82, 20.961874
2966.20, 20.964394
2971.58, 20.950329
2976.97, 20.944193
2982.35, 20.926188
2987.73, 20.920906
2993.12, 20.907984
2998.50, 20.900240
3003.88, 20.900644
3009.27, 20.886847
3014.65, 20.882887
3020.03, 20.872324
3025.42, 20.867872
3030.80, 20.852812
3036.18, 20.836409
3041.56, 20.834211
3046.95, 20.823210
3052.33, 20.808634
3057.71, 20.806402
3063.10, 20.800266
3068.48, 20.782627
3073.86, 20.780310
3079.25, 20.774706
3084.63, 20.766579
3090.01, 20.751923
3095.40, 20.736063
3100.78, 20.730772
3106.16, 20.721491
3111.55, 20.716724
